Gender,Ages,Months,L,M,S
1,,169,3.3725,165.3813,0.0412
1,,170,3.4351,165.7975,0.0407
1,,171,3.4998,166.2138,0.0402
1,,172,3.5666,166.6301,0.0397
1,,173,3.6357,167.0464,0.0392
1,,174,3.6315,167.3647,0.0388
1,,175,3.6262,167.6831,0.0384
1,,176,3.6198,168.0013,0.0379
1,,177,3.6121,168.3195,0.0375
1,,178,3.6031,168.6377,0.037
1,,179,3.5927,168.9558,0.0366
1,15,180,3.5208,169.1812,0.0363
1,,181,3.4457,169.4066,0.036
1,,182,3.3672,169.6319,0.0357
1,,183,3.2853,169.8571,0.0353
1,,184,3.1997,170.0824,0.035
1,,185,3.1104,170.3076,0.0347
1,,186,2.9809,170.4684,0.0345
1,,187,2.8483,170.6294,0.0342
1,,188,2.7127,170.7906,0.034
1,,189,2.574,170.952,0.0338
1,,190,2.4321,171.1137,0.0335
1,,191,2.2872,171.2756,0.0333
1,16,192,2.154,171.3949,0.0332
1,,193,2.0196,171.5145,0.033
1,,194,1.8841,171.6344,0.0328
1,,195,1.7474,171.7546,0.0327
1,,196,1.6096,171.8752,0.0325
1,,197,1.4707,171.996,0.0324
1,,198,1.3966,172.0897,0.0323
1,,199,1.3226,172.1836,0.0323
1,,200,1.2488,172.2775,0.0322
1,,201,1.1751,172.3716,0.0322
1,,202,1.1016,172.4658,0.0321
1,,203,1.0282,172.56,0.0321
1,17,204,0.9751,172.6404,0.0321
1,,205,0.9218,172.7207,0.0321
1,,206,0.8685,172.8009,0.0321
1,,207,0.815,172.8812,0.0321
1,,208,0.7614,172.9614,0.0321
1,,209,0.7077,173.0416,0.0321
1,,210,0.6595,173.1222,0.0321
1,,211,0.611,173.2027,0.0321
1,,212,0.5623,173.2832,0.0321
1,,213,0.5134,173.3636,0.032
1,,214,0.4642,173.444,0.032
1,,215,0.4148,173.5244,0.032
1,18,216,0.3638,173.6037,0.032
1,,217,0.3126,173.683,0.032
1,,218,0.2611,173.7622,0.032
1,,219,0.2094,173.8413,0.032
1,,220,0.1573,173.9204,0.032
1,,221,0.105,173.9995,0.032
1,,222,0.0449,174.0764,0.032
1,,223,-0.0155,174.1532,0.032
1,,224,-0.0764,174.23,0.032
1,,225,-0.1377,174.3067,0.0319
1,,226,-0.1994,174.3833,0.0319
1,,227,-0.2615,174.4598,0.0319
2,0,0,1,49.1477,0.0379
2,,1,1,53.6872,0.0364
2,,2,1,57.0673,0.0357
2,,3,1,59.8029,0.0352
2,,4,1,62.0899,0.0349
2,,5,1,64.0301,0.0346
2,,6,1,65.7311,0.0345
2,,7,1,67.2873,0.0344
2,,8,1,68.7498,0.0344
2,,9,1,70.1435,0.0344
2,,10,1,71.4818,0.0345
2,,11,1,72.771,0.0346
2,1,12,1,74.015,0.0348
2,,13,1,75.2176,0.035
2,,14,1,76.3817,0.0351
2,,15,1,77.5099,0.0353
2,,16,1,78.6055,0.0356
2,,17,1,79.671,0.0358
2,,18,1,80.7079,0.036
2,,19,1,81.7182,0.0362
2,,20,1,82.7036,0.0364
2,,21,1,83.6654,0.0367
2,,22,1,84.604,0.0369
2,,23,1,85.5202,0.0371
2,2,24,1,85.7153,0.0376
2,,25,1,86.5904,0.0379
2,,26,1,87.4462,0.0381
2,,27,1,88.283,0.0383
2,,28,1,89.1004,0.0385
2,,29,1,89.8991,0.0387
2,,30,1,90.6797,0.0389
2,,31,1,91.443,0.0391
2,,32,1,92.1906,0.0393
2,,33,1,92.9239,0.0395
2,,34,1,93.6444,0.0397
2,,35,1,94.3533,0.0399
2,3,36,0.5472,95.4078,0.0413
2,,37,0.4997,95.9472,0.0412
2,,38,0.4525,96.4867,0.0411
2,,39,0.4056,97.0262,0.041
2,,40,0.359,97.5658,0.0409
2,,41,0.3126,98.1054,0.0408
2,,42,0.2825,98.6465,0.0407
2,,43,0.2526,99.1877,0.0406
2,,44,0.2229,99.7288,0.0405
2,,45,0.1934,100.27,0.0404
2,,46,0.164,100.8113,0.0403
2,,47,0.1348,101.3525,0.0402
2,4,48,0.1129,101.8943,0.0401
2,,49,0.0912,102.4361,0.04
2,,50,0.0695,102.9779,0.0399
2,,51,0.048,103.5197,0.0398
2,,52,0.0267,104.0616,0.0397
2,,53,0.0054,104.6034,0.0396
2,,54,-0.0216,105.1425,0.0395
2,,55,-0.0484,105.6816,0.0395
2,,56,-0.0751,106.2208,0.0394
2,,57,-0.1016,106.76,0.0393
2,,58,-0.128,107.2992,0.0392
2,,59,-0.1543,107.8384,0.0391
2,5,60,-0.1404,108.3714,0.039
2,,61,-0.1266,108.9045,0.039
2,,62,-0.113,109.4375,0.0389
2,,63,-0.0994,109.9706,0.0389
2,,64,-0.086,110.5036,0.0388
2,,65,-0.0726,111.0366,0.0388
2,,66,-0.0272,111.5656,0.0388
2,,67,0.0175,112.0946,0.0388
2,,68,0.0614,112.6235,0.0388
2,,69,0.1047,113.1523,0.0388
2,,70,0.1472,113.6811,0.0388
2,,71,0.1891,114.2098,0.0388
2,6,72,0.2115,114.7289,0.0388
2,,73,0.2335,115.2479,0.0388
2,,74,0.255,115.767,0.0389
2,,75,0.2762,116.286,0.0389
2,,76,0.297,116.805,0.039
2,,77,0.3174,117.324,0.039
2,,78,0.2769,117.8257,0.0391
2,,79,0.2373,118.3274,0.0391
2,,80,0.1986,118.8292,0.0392
2,,81,0.1606,119.331,0.0393
2,,82,0.1235,119.8329,0.0394
2,,83,0.0872,120.3348,0.0394
2,7,84,0.0163,120.8229,0.0396
2,,85,-0.0528,121.311,0.0397
2,,86,-0.1201,121.7993,0.0398
2,,87,-0.1857,122.2876,0.0399
2,,88,-0.2496,122.7761,0.04
2,,89,-0.3119,123.2646,0.0401
2,,90,-0.3571,123.7505,0.0402
2,,91,-0.4012,124.2364,0.0404
2,,92,-0.4442,124.7224,0.0405
2,,93,-0.4862,125.2084,0.0406
2,,94,-0.5271,125.6944,0.0407
2,,95,-0.567,126.1805,0.0408
2,8,96,-0.5993,126.6703,0.041
2,,97,-0.6308,127.1601,0.0411
2,,98,-0.6616,127.65,0.0412
2,,99,-0.6918,128.1399,0.0413
2,,100,-0.7213,128.6297,0.0414
2,,101,-0.7502,129.1197,0.0415
2,,102,-0.779,129.6197,0.0416
2,,103,-0.807,130.1199,0.0417
2,,104,-0.8342,130.62,0.0418
2,,105,-0.8608,131.1202,0.042
2,,106,-0.8868,131.6204,0.0421
2,,107,-0.9121,132.1207,0.0422
2,9,108,-0.8812,132.6442,0.0423
2,,109,-0.851,133.1677,0.0425
2,,110,-0.8214,133.6912,0.0426
2,,111,-0.7924,134.2147,0.0428
2,,112,-0.764,134.7382,0.0429
2,,113,-0.7362,135.2617,0.043
2,,114,-0.6545,135.8116,0.0432
2,,115,-0.574,136.3617,0.0433
2,,116,-0.4946,136.9119,0.0434
2,,117,-0.4162,137.4622,0.0435
2,,118,-0.3389,138.0126,0.0436
2,,119,-0.2627,138.5631,0.0438
2,10,120,-0.1573,139.1218,0.0438
2,,121,-0.0528,139.6805,0.0439
2,,122,0.0509,140.2395,0.0439
2,,123,0.1538,140.7986,0.044
2,,124,0.2558,141.3578,0.044
2,,125,0.3569,141.9172,0.0441
2,,126,0.4653,142.4689,0.044
2,,127,0.5738,143.0207,0.044
2,,128,0.6821,143.5726,0.0439
2,,129,0.7904,144.1246,0.0438
2,,130,0.8986,144.6765,0.0438
2,,131,1.0066,145.2285,0.0437
2,11,132,1.1242,145.7568,0.0435
2,,133,1.2433,146.2852,0.0433
2,,134,1.3638,146.8136,0.0431
2,,135,1.4857,147.3421,0.0429
2,,136,1.609,147.8706,0.0427
2,,137,1.7336,148.399,0.0425
2,,138,1.8239,148.8746,0.0421
2,,139,1.9161,149.3501,0.0418
2,,140,2.0103,149.8256,0.0415
2,,141,2.1065,150.3011,0.0412
2,,142,2.2047,150.7766,0.0409
2,,143,2.3049,151.2521,0.0406
2,12,144,2.3447,151.6571,0.0402
2,,145,2.3855,152.0621,0.0399
2,,146,2.4272,152.4672,0.0395
2,,147,2.4699,152.8722,0.0392
2,,148,2.5136,153.2772,0.0388
2,,149,2.5584,153.6821,0.0385
2,,150,2.5648,154.0138,0.0382
2,,151,2.5712,154.3455,0.0378
2,,152,2.5775,154.6772,0.0375
2,,153,2.5837,155.0089,0.0372
2,,154,2.5899,155.3405,0.0368
2,,155,2.5959,155.6722,0.0365
2,13,156,2.5607,155.9198,0.0362
2,,157,2.5239,156.1672,0.036
2,,158,2.4856,156.4146,0.0357
2,,159,2.4458,156.6619,0.0355
2,,160,2.4042,156.9091,0.0352
2,,161,2.3609,157.1562,0.035
2,,162,2.3149,157.3292,0.0348
2,,163,2.2677,157.5021,0.0346
2,,164,2.2195,157.675,0.0345
2,,165,2.1701,157.8478,0.0343
2,,166,2.1196,158.0205,0.0342
2,,167,2.0679,158.1932,0.034
2,14,168,2.0549,158.3159,0.0339
2,,169,2.0417,158.4387,0.0338
2,,170,2.0284,158.5614,0.0337
2,,171,2.015,158.6842,0.0336
2,,172,2.0014,158.8069,0.0335
2,,173,1.9877,158.9297,0.0335
2,,174,1.967,159.0139,0.0334
2,,175,1.9462,159.0981,0.0333
2,,176,1.9254,159.1823,0.0332
2,,177,1.9045,159.2666,0.0332
2,,178,1.8835,159.3508,0.0331
2,,179,1.8625,159.4351,0.033
2,15,180,1.79,159.4917,0.033
2,,181,1.7178,159.5483,0.033
2,,182,1.6457,159.6051,0.0329
2,,183,1.5739,159.6619,0.0329
2,,184,1.5022,159.7189,0.0328
2,,185,1.4308,159.776,0.0328
2,,186,1.3515,159.8149,0.0328
2,,187,1.2721,159.8539,0.0327
2,,188,1.1928,159.893,0.0327
2,,189,1.1134,159.9321,0.0326
2,,190,1.034,159.9714,0.0326
2,,191,0.9547,160.0107,0.0325
2,16,192,0.8678,160.0286,0.0325
2,,193,0.7803,160.0465,0.0324
2,,194,0.6921,160.0644,0.0323
2,,195,0.6032,160.0823,0.0322
2,,196,0.5137,160.1002,0.0322
2,,197,0.4236,160.1182,0.0321
2,,198,0.332,160.1342,0.032
2,,199,0.2396,160.1502,0.032
2,,200,0.1464,160.1661,0.0319
2,,201,0.0522,160.1821,0.0318
2,,202,-0.0428,160.198,0.0317
2,,203,-0.1387,160.214,0.0317
2,17,204,-0.164,160.2483,0.0316
2,,205,-0.1896,160.2827,0.0316
2,,206,-0.2154,160.317,0.0315
2,,207,-0.2414,160.3514,0.0315
2,,208,-0.2675,160.3857,0.0314
2,,209,-0.294,160.42,0.0314
2,,210,-0.311,160.4524,0.0313
2,,211,-0.3282,160.4847,0.0313
2,,212,-0.3456,160.5171,0.0313
2,,213,-0.3631,160.5494,0.0312
2,,214,-0.3808,160.5817,0.0312
2,,215,-0.3985,160.614,0.0311
2,18,216,-0.4107,160.6484,0.0311
2,,217,-0.4229,160.6827,0.031
2,,218,-0.4352,160.7171,0.031
2,,219,-0.4476,160.7514,0.031
2,,220,-0.4601,160.7857,0.0309
2,,221,-0.4727,160.82,0.0309
2,,222,-0.4804,160.8591,0.0309
2,,223,-0.4881,160.8981,0.0308
2,,224,-0.4959,160.9372,0.0308
2,,225,-0.5037,160.9762,0.0307
2,,226,-0.5116,161.0153,0.0307
2,,227,-0.5195,161.0543,0.0307
